Stops,Website,Booked_on,Destination,Depart_date,Airline,Price
5,KupiBilet.ru,2/7/22,YTO,4/30/22,WS,Expensive
4,KupiBilet.ru,2/8/22,ECN,2/27/22,DP,Cheap
4,KupiBilet.ru,2/5/22,GYE,4/10/22,AV,Expensive
4,KupiBilet.ru,2/8/22,YVR,5/11/22,WS,Expensive
4,KupiBilet.ru,2/9/22,LIM,5/11/22,AM,Expensive
4,KupiBilet.ru,2/8/22,YVR,7/17/22,WS,Expensive
4,KupiBilet.ru,2/7/22,YQB,7/1/22,WS,Expensive
4,KupiBilet.ru,2/7/22,YVR,6/7/22,WS,Expensive
4,KupiBilet.ru,2/5/22,AHB,6/19/22,5W,Expensive
4,KupiBilet.ru,2/7/22,YVR,11/1/22,WS,Expensive
4,KupiBilet.ru,2/8/22,RIO,6/21/22,AF,Expensive
4,KupiBilet.ru,2/6/22,UIO,8/15/22,AV,Expensive
4,KupiBilet.ru,2/8/22,GYE,8/22/22,AV,Expensive
4,KupiBilet.ru,2/7/22,SDQ,11/1/22,TK,Expensive
4,MEGO.travel,2/5/22,MBJ,12/1/22,TK,Expensive
4,KupiBilet.ru,2/5/22,YLW,8/20/22,WS,Expensive
4,KupiBilet.ru,2/5/22,RIO,10/26/22,AF,Expensive
4,KupiBilet.ru,2/9/22,CUZ,10/1/22,AM,Expensive
4,MEGO.travel,2/6/22,MBJ,8/3/22,TK,Expensive
4,KupiBilet.ru,2/8/22,RIO,11/18/22,AF,Expensive
4,KupiBilet.ru,2/9/22,SCL,8/15/22,KL,Expensive
4,KupiBilet.ru,2/6/22,SAC,8/1/22,TK,Expensive
4,KupiBilet.ru,2/9/22,PUQ,11/14/22,TK,Expensive
4,Trip.com,2/6/22,PAP,8/22/22,AF,Expensive
4,KupiBilet.ru,2/6/22,USH,8/18/22,LV,Expensive
4,KupiBilet.ru,2/5/22,MDZ,10/27/22,AV,Expensive
4,KupiBilet.ru,2/7/22,WLG,9/4/22,UL,Expensive
4,KupiBilet.ru,2/8/22,WLG,12/26/22,PR,Expensive
3,Tickets.ru,2/3/22,BRI,3/26/22,W6,Cheap
3,OneTwoTrip,2/2/22,EDI,3/29/22,W6,Cheap
3,OneTwoTrip,2/7/22,DRS,3/29/22,W6,Cheap
3,KupiBilet.ru,2/9/22,TRN,2/21/22,A3,Cheap
3,KupiBilet.ru,2/9/22,VRN,2/21/22,A3,Cheap
3,KupiBilet.ru,2/8/22,GOA,2/21/22,A3,Cheap
3,KupiBilet.ru,2/9/22,PSA,2/21/22,A3,Cheap
3,OneTwoTrip,2/6/22,BHX,4/5/22,FR,Cheap
3,Kissandfly,2/8/22,PRG,4/3/22,W6,Cheap
3,KupiBilet.ru,2/9/22,DTM,2/28/22,A3,Cheap
3,KupiBilet.ru,2/8/22,ZAZ,2/28/22,A3,Cheap
3,KupiBilet.ru,2/8/22,LPL,2/28/22,A3,Cheap
3,KupiBilet.ru,2/8/22,MMA,2/21/22,A3,Cheap
3,OneTwoTrip,2/7/22,VLC,4/5/22,W6,Cheap
3,KupiBilet.ru,2/6/22,PSR,2/16/22,DP,Cheap
3,KupiBilet.ru,2/8/22,STR,2/27/22,PC,Cheap
3,Tickets.ru,2/3/22,FAO,4/5/22,W6,Cheap
3,KupiBilet.ru,2/6/22,LCJ,3/21/22,A3,Cheap
3,KupiBilet.ru,2/2/22,DSA,3/21/22,A3,Cheap
3,Tickets.ru,2/4/22,OPO,4/26/22,W6,Cheap
3,OneTwoTrip,2/8/22,NUE,4/5/22,W6,Cheap
3,Tickets.ru,2/4/22,SNN,3/7/22,A3,Cheap
3,Tickets.ru,2/4/22,MIL,9/29/22,W6,Average
3,KupiBilet.ru,2/2/22,LBA,3/21/22,A3,Average
3,Tickets.ru,2/3/22,GOA,9/26/22,W6,Average
3,Tickets.ru,2/2/22,BIQ,3/7/22,W6,Average
3,Tickets.ru,2/4/22,TRS,2/14/22,A3,Average
3,KupiBilet.ru,2/6/22,ORK,2/21/22,A3,Average
3,KupiBilet.ru,2/6/22,RZE,2/21/22,A3,Average
3,KupiBilet.ru,2/6/22,LIL,2/21/22,A3,Average
3,KupiBilet.ru,2/8/22,CCF,2/14/22,A3,Average
3,KupiBilet.ru,2/8/22,FAO,2/28/22,A3,Average
3,KupiBilet.ru,2/9/22,PLQ,2/28/22,A3,Average
3,KupiBilet.ru,2/8/22,TER,3/7/22,A3,Average
3,KupiBilet.ru,2/9/22,FLR,3/27/22,S7,Average
3,KupiBilet.ru,2/4/22,PSR,5/8/22,S7,Average
3,KupiBilet.ru,2/5/22,BIO,3/7/22,A3,Average
3,Tickets.ru,2/2/22,IZM,9/26/22,A4,Average
3,OneTwoTrip,2/8/22,TBS,10/19/22,W9,Average
3,KupiBilet.ru,2/8/22,KSC,2/21/22,A3,Average
3,KupiBilet.ru,2/8/22,GLA,5/19/22,S7,Average
3,KupiBilet.ru,2/7/22,GLA,2/28/22,A3,Average
3,Tickets.ru,2/3/22,NCL,2/11/22,FR,Average
3,Kissandfly,2/2/22,CUF,3/4/22,S7,Average
3,OneTwoTrip,2/8/22,HSA,6/12/22,5W,Average
3,SuperSaver,2/8/22,BHX,2/21/22,FR,Average
3,KupiBilet.ru,2/9/22,REU,3/31/22,S7,Average
3,KupiBilet.ru,2/8/22,CWL,3/29/22,W6,Average
3,Tickets.ru,2/2/22,GLA,10/10/22,W6,Average
